program, blocksize, inputsize, outputsize, speed, time
standaard compression,32767,13479,6063,18851748,0.001
standaard compression,32767,69787,30943,28038167,0.002
standaard compression,32767,144826,63627,33988735,0.004
standaard compression,32767,748148,325930,45074587,0.017
standaard compression,32767,1548286,670898,66163240,0.023
standaard compression,32767,7984021,3444519,83613696,0.095
standaard compression,32767,16481711,7079616,82879309,0.199
standaard compression,32767,84823391,36296762,82758403,1.025
standaard compression,32767,174825704,74532176,83523536,2.093
standaard compression,32767,898257477,381733264,83948159,10.700
standaard_compression 32767 13479 6063 21327531 0.00063
standaard_compression 32767 69787 30943 33503120 0.00208
standaard_compression 32767 144826 63627 37182541 0.00390
standaard_compression 32767 748148 325930 48552664 0.01541
standaard_compression 32767 1548286 670898 68608410 0.02257
standaard_compression 32767 7984021 3444519 83915128 0.09514
standaard_compression 32767 16481711 7079616 82838903 0.19896
standaard_compression 32767 84823391 36296762 82889091 1.02334
standaard_compression 32767 174825704 74532176 82195145 2.12696
standaard_compression 32767 898257477 381733264 82282228 10.91679
