program, blocksize, inputsize, outputsize, speed, time
standaard decompression,32767,8882,19872,50564885,0.000
standaard decompression,32767,43772,99358,18121101,0.005
standaard decompression,32767,87213,198785,24547419,0.008
standaard decompression,32767,432988,993980,36567581,0.027
standaard decompression,32767,864506,1987832,57118326,0.035
standaard decompression,32767,4296990,9939789,61758533,0.161
standaard decompression,32767,8580361,19879307,62245769,0.319
standaard decompression,32767,42678522,99397118,63769856,1.559
standaard decompression,32767,85152584,198794280,64008770,3.106
standaard decompression,32767,423983207,993973974,63428449,15.671
standaard_decompression 32767 8882 19872 13638984 0.00146
standaard_decompression 32767 43772 99358 18065090 0.00550
standaard_decompression 32767 87213 198785 20948993 0.00949
standaard_decompression 32767 432988 993980 58421300 0.01701
standaard_decompression 32767 864506 1987832 47805107 0.04158
standaard_decompression 32767 4296990 9939789 60710641 0.16372
standaard_decompression 32767 8580361 19879307 60518894 0.32848
standaard_decompression 32767 42678522 99397118 62248902 1.59677
standaard_decompression 32767 85152584 198794280 63558624 3.12773
standaard_decompression 32767 423983207 993973974 63407251 15.67603
